1,México
2,Afganistán
3,Albania
4,Alemania
5,Andorra
6,Angola
7,Antigua y Barbuda
8,Arabia Saudita
9,Argelia
10,Argentina
11,Armenia
12,Australia
13,Austria
14,Azerbaiyán
15,Bahamas
16,Bangladés
17,Barbados
18,Baréin
19,Bélgica
20,Belice
21,Benín
22,Bielorrusia
23,Birmania
24,Bolivia
25,Bosnia-Herzegovina
26,Botsuana
27,Brasil
28,Brunéi
29,Bulgaria
30,Burkina Faso
31,Burundi
32,Bután
33,Cabo Verde
34,Camboya
35,Camerún
36,Canadá
37,Catar
38,Chad
39,Chile
40,China
41,Chipre
42,Colombia
43,Comoras
44,Congo
45,Corea del Norte
46,Corea del Sur
47,Costa de Marfil
48,Costa Rica
49,Croacia
50,Cuba
51,Dinamarca
52,Dominica
53,Ecuador
54,Egipto
55,El Salvador
56,Emiratos Árabes Unidos
57,Eritrea
58,Eslovaquia
59,Eslovenia
60,España
61,Estados Unidos
62,Estonia
63,Etiopía
64,Filipinas
65,Finlandia
66,Fiyi
67,Francia
68,Gabón
69,Gambia
70,Georgia
71,Ghana
72,Granada
73,Grecia
74,Guatemala
75,Guinea
76,Guinea Ecuatorial
77,Guinea-Bisáu
78,Guyana
79,Haití
80,Honduras
81,Hungría
82,India
83,Indonesia
84,Irak
85,Irán
86,Irlanda
87,Islandia
88,Islas Marshall
89,Islas Salomón
90,Israel
91,Italia
92,Jamaica
93,Japón
94,Jordania
95,Kazajistán
96,Kenia
97,Kirguistán
98,Kiribati
99,Kosovo
100,Kuwait
101,Laos
102,Lesoto
103,Letonia
104,Líbano
105,Liberia
106,Libia
107,Liechtenstein
108,Lituania
109,Luxemburgo
110,Macedonia
111,Madagascar
112,Malasia
113,Malaui
114,Maldivas
115,Malí
116,Malta
117,Marruecos
118,Mauricio
119,Mauritania
120,Micronesia
121,Moldavia
122,Mónaco
123,Mongolia
124,Montenegro
125,Mozambique
126,Namibia
127,Nauru
128,Nepal
129,Nicaragua
130,Níger
131,Nigeria
132,Noruega
133,Nueva Zelanda
134,Omán
135,Países Bajos
136,Pakistán
137,Palaos
138,Palestina
139,Panamá
140,Papúa Nueva Guinea
141,Paraguay
142,Perú
143,Polonia
144,Portugal
145,Reino Unido
146,República Centroafricana
147,República Checa
148,República Democrática del Congo
149,República Dominicana
150,Ruanda
151,Rumania
152,Rusia
153,Samoa
154,San Cristóbal y Nieves
155,San Marino
156,San Vicente y las Granadinas
157,Santa Lucía
158,Santo Tomé y Príncipe
159,Senegal
160,Serbia
161,Seychelles
162,Sierra Leona
163,Singapur
164,Siria
165,Somalia
166,Sri Lanka
167,Suazilandia
168,Sudáfrica
169,Sudán
170,Sudán del Sur
171,Suecia
172,Suiza
173,Surinam
174,Tailandia
175,Taiwán
176,Tanzania
177,Tayikistán
178,Timor Oriental
179,Togo
180,Tonga
181,Trinidad y Tobago
182,Túnez
183,Turkmenistán
184,Turquía
185,Tuvalu
186,Ucrania
187,Uganda
188,Uruguay
189,Uzbekistán
190,Vanuatu
191,Vaticano
192,Venezuela
193,Vietnam
194,Yemen
195,Yibuti
196,Zambia
197,Zimbabue
