1,compra,telefono: (+52) 984 206 4100 fax: (+52) 984 206 4110 email: reservas.bbdiamond@bluebayresorts.com,PET,/localhost/img/img1
2,venta,telefono: (+52) 984 877 4500 fax: (+52) 984 877 4512 email: reservas2.bbge@bluebayresorts.com,Vidrio,/localhost/img/img2
3,compra,telefono: (+34) 952 811 517 fax: (+34) 952 814 180  email: reservas.bbbanus@bluebayresorts.com,Papel,/localhost/img/img3
4,venta,telefono: (+507) 240 4444,Carton,/localhost/img/img4
5,compra,telefono: (+34) 91 452 05 29 fax: (+34) 914 42 53 20,Aluminio,/localhost/img/img5
6,venta,telefono: (+39) 075 517 2048,PET,/localhost/img/img6
7,compra,telefono: (+591) 2 5210671,Vidrio,/localhost/img/img7
8,venta,telefono: (+971) 4 395 8888,Papel,/localhost/img/img8
9,compra,telefono: (+971) 4 2944464 fax: (+971) 4 2944426,Carton,/localhost/img/img9
10,venta,telefono: (+34) 971 824 090 fax: (+34) 971 824 159 email: jrecep.belsana@bellevue-resorts.com,Aluminio,/localhost/img/img10
11,compra,telefono: (+1) 809 412 2001 fax: (+1) 809 412 0687 email: reservas.dominicanbay@bellevue-resorts.com,PET,/localhost/img/img11
12,venta,telefono: (+34) 971 892 000 fax: (+34) 971 892 173 email: jrecep.lagomonte@bellevue-resorts.com,Vidrio,/localhost/img/img12
13,compra,telefono: (+34) 928 514 940 fax: (+34) 928 514 949 email: booking.aquarius@grupobluebay.com,Papel,/localhost/img/img13
14,venta,telefono: (+33) 04 67 29 00 00,Carton,/localhost/img/img14
15,compra,telefono: (+33) 04 93 06 50 00,PET,/localhost/img/img15
16,venta,telefono: (+961) 4 555 555,Vidrio,/localhost/img/img16
17,compra,telefono: (+212) 5393 33111,Papel,/localhost/img/img17
18,venta,telefono: (+216) 72 244 999 fax: (+216) 72 244 966,Carton,/localhost/img/img18
19,compra,telefono: (+34) 971 892 600 fax: (+34) 971 892 800 email: reservas.bellevue@bellevue-resorts.com,PET,/localhost/img/img19
20,compra,telefono: (+1) 809 412 2001 fax: (+1) 809 412 0687 email: reservas.dominicanbay@bellevue-resorts.com,Vidrio,/localhost/img/img20
