1,1,Aguascalientes
2,1,Baja California
3,1,Baja California Sur
4,1,Campeche
5,1,Chiapas
6,1,Chihuahua
7,1,Ciudad de México
8,1,Coahuila
9,1,Colima
10,1,Durango
11,1,Guanajuato
12,1,Guerrero
13,1,Hidalgo
14,1,Jalisco
15,1,México
16,1,Michoacán
17,1,Morelos
18,1,Nayarit
19,1,Nuevo León
20,1,Oaxaca
21,1,Puebla
22,1,Querétaro
23,1,Quintana Roo
24,1,San Luis Potosí
25,1,Sinaloa
26,1,Sonora
27,1,Tabasco
28,1,Tamaulipas
29,1,Tlaxcala
30,1,Veracruz
31,1,Yucatán
32,1,Zacatecas
